ItemName,Type,Color,ColorFamily,Style,Pattern,MinTemp,MaxTemp,Condition
LightBlueFormalShirt,Shirt,Blue,Blue,Formal,Solid,15,30,Any
WhiteLinenShirt,Shirt,White,Neutral,Casual,Solid,25,40,Clear
BlackTrousers,Pants,Black,Neutral,Formal,Solid,0,30,Any
RedPolo,Shirt,Red,Bold,Casual,Solid,22,40,Any
GreySweater,Top,Grey,Neutral,Casual,Solid,-5,15,Any
LeatherBoots,Shoes,Black,Neutral,Casual,Solid,5,20,Rain
WhiteSneakers,Shoes,White,Neutral,Casual,Solid,10,40,Clear
BlackDerbies,Shoes,Black,Neutral,Formal,Solid,-10,30,Any
CheckeredCasualShirt,Shirt,Blue,Blue,Casual,Checkered,20,35,Clouds
KhakiChinos,Pants,Khaki,Brown,Casual,Solid,18,35,Any
WoolJacket,Top,Navy,Blue,Formal,Solid,-5,12,Any
MyBlueJeans,Pants,Blue,Blue,Casual,Solid,0,30,Any
DarkGreyChinos,Pants,Grey,Neutral,Casual,Solid,10,30,Any
WaterproofJacket,Top,Black,Neutral,Casual,Solid,10,25,Rain
GraphicTshirt,Shirt,Black,Neutral,Casual,Graphic,20,35,Any
GreyHoodie,Top,Grey,Neutral,Casual,Solid,15,25,Clouds
BlackJeans,Pants,Black,Neutral,Casual,Solid,0,30,Any
CanvasShoes,Shoes,Grey,Neutral,Casual,Solid,15,35,Any
